repository_id,pull_request_number,full_divergence,python_divergence,delta,total_files,python_files,non_python_files,total_changes,python_changes,non_python_changes,non_python_ratio,non_python_change_ratio,module_count,documentation_files,configuration_files,test_files,assets_files,other_files
1,2986,0.5178087124087263,0.45119124415329914,-0.06661746825542714,3,2,1,32,27,5,0.3333333333333333,0.15625,3,1,0,0,0,0
1,2994,0.9089998546920001,0.9075974689385476,-0.0014023857534524176,3,2,1,67,63,4,0.3333333333333333,0.05970149253731343,3,1,0,0,0,0
1,3011,0.8750783026902281,0.8750783026902281,0.0,1,1,0,6,6,0,0.0,0.0,1,0,0,0,0,0
1,3049,0.9229566351129654,0.9229566351129654,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3054,0.4056944586335698,0.4056944586335698,0.0,2,2,0,6,6,0,0.0,0.0,2,0,0,0,0,0
1,3056,0.6478779515759594,0.6478779515759594,0.0,1,1,0,17,17,0,0.0,0.0,1,0,0,0,0,0
1,3059,0.7147492426019888,0.6466765109701393,-0.06807273163184946,4,3,1,67,56,11,0.25,0.16417910447761194,4,1,0,0,0,0
1,3063,0.6207309721326395,0.6207309721326395,0.0,2,2,0,23,23,0,0.0,0.0,2,0,0,0,0,0
1,3069,0.5747326225866778,0.5582338162723754,-0.01649880631430234,2,1,1,10,8,2,0.5,0.2,2,1,0,0,0,0
1,3082,0.5123262599050349,0.5123262599050349,0.0,1,1,0,12,12,0,0.0,0.0,1,0,0,0,0,0
1,3096,0.4708400080329286,0.4708400080329286,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3104,0.7654111964391934,0.778253471233114,0.012842274793920527,5,4,1,78,74,4,0.2,0.05128205128205128,5,1,0,0,0,0
1,3111,0.8425592121551442,0.7151391289048161,-0.12742008325032805,4,2,2,86,18,68,0.5,0.7906976744186046,4,2,0,0,0,0
1,3124,0.5139187222077661,0.4912999571218414,-0.022618765085924752,5,4,1,51,49,2,0.2,0.0392156862745098,5,1,0,0,0,0
1,3157,0.7187773599323231,0.7340989894056196,0.015321629473296516,3,2,1,35,32,3,0.3333333333333333,0.08571428571428572,3,1,0,0,0,0
1,3166,0.9091425738499493,0.9091425738499493,0.0,1,1,0,1,1,0,0.0,0.0,1,0,0,0,0,0
1,3169,0.8516537347267299,0.8516537347267299,0.0,1,1,0,4,4,0,0.0,0.0,1,0,0,0,0,0
1,3174,0.6819669348004042,0.656181655363911,-0.025785279436493114,5,3,2,26,23,3,0.4,0.11538461538461539,5,2,0,0,0,0
1,3179,0.7786882077577775,0.7880007832498925,0.00931257549211506,3,2,1,30,25,5,0.3333333333333333,0.16666666666666666,3,1,0,0,0,0
1,3181,0.7549630791783933,0.7252864299198402,-0.029676649258553178,5,3,2,149,140,9,0.4,0.06040268456375839,5,1,1,0,0,0
1,3182,0.6805958845088902,0.6540118217669747,-0.026584062741915493,4,3,1,17,15,2,0.25,0.11764705882352941,4,1,0,0,0,0
1,3183,0.807868820562112,0.8147986474656526,0.0069298269035406035,65,63,2,7261,7251,10,0.03076923076923077,0.001377220768489189,65,0,2,0,0,0
1,3185,0.466646722618159,0.3968953878276815,-0.06975133479047746,2,1,1,21,18,3,0.5,0.14285714285714285,2,1,0,0,0,0
1,3190,0.5471575066964054,0.5062881854456877,-0.04086932125071774,2,1,1,39,32,7,0.5,0.1794871794871795,2,1,0,0,0,0
1,3195,0.6540112503647703,0.634191730466839,-0.019819519897931293,3,2,1,31,29,2,0.3333333333333333,0.06451612903225806,3,1,0,0,0,0
1,3196,0.8845629293853305,0.8845629293853305,0.0,1,1,0,2,2,0,0.0,0.0,1,0,0,0,0,0
1,3206,0.5898443441687149,0.5770580604407451,-0.01278628372796975,4,3,1,134,131,3,0.25,0.022388059701492536,4,1,0,0,0,0
1,3208,0.6429078623233311,0.5847140652187044,-0.05819379710462669,2,1,1,19,17,2,0.5,0.10526315789473684,2,1,0,0,0,0
1,3229,0.9891314470959899,0.9891314470959899,0.0,4,4,0,33,33,0,0.0,0.0,4,0,0,0,0,0
