repository_id,pull_request_number,total_files,python_file_count,non_python_file_count,python_similarity,random_mean_similarity,random_median_similarity,random_p05_similarity,random_p95_similarity,random_best_similarity,python_minus_random_mean,random_probability_beats_python
1,630,1,1,0,0.1666877472522159,0.16668774725221597,0.1666877472522159,0.1666877472522159,0.1666877472522159,0.1666877472522159,-5.551115123125783e-17,1.0
1,635,1,1,0,0.1421007052357916,0.14210070523579163,0.1421007052357916,0.1421007052357916,0.1421007052357916,0.1421007052357916,-2.7755575615628914e-17,1.0
1,667,2,2,0,0.15038929806521412,0.15038929806521412,0.15038929806521412,0.15038929806521412,0.15038929806521412,0.15038929806521412,0.0,1.0
1,687,4,4,0,0.2947145257233448,0.2947145257233448,0.2947145257233448,0.2947145257233448,0.2947145257233449,0.2947145257233449,0.0,1.0
1,700,1,1,0,0.6810987459584694,0.6810987459584693,0.6810987459584694,0.6810987459584694,0.6810987459584694,0.6810987459584694,1.1102230246251565e-16,1.0
1,707,1,1,0,0.11086338318844335,0.11086338318844335,0.11086338318844335,0.11086338318844335,0.11086338318844335,0.11086338318844335,0.0,1.0
1,708,1,1,0,0.4641974363257267,0.46419743632572685,0.4641974363257267,0.4641974363257267,0.4641974363257267,0.4641974363257267,-1.6653345369377348e-16,1.0
1,730,6,4,2,0.299322758735461,0.27496868634135607,0.2780624822274785,0.24429267534245958,0.299322758735461,0.29932275873546105,0.02435407239410492,0.068
1,731,10,4,6,0.2769454347356427,0.25236084207868775,0.2600575459197204,0.11371391775305438,0.3705028494140748,0.3992874650772179,0.02458459265695495,0.401
1,732,12,12,0,0.21770761445130768,0.21770761445130762,0.21770761445130768,0.21770761445130762,0.21770761445130768,0.2177076144513077,5.551115123125783e-17,0.659
1,733,1,1,0,0.1634185319522304,0.1634185319522304,0.1634185319522304,0.1634185319522304,0.1634185319522304,0.1634185319522304,0.0,1.0
1,734,1,1,0,0.1481688425837575,0.1481688425837575,0.1481688425837575,0.1481688425837575,0.1481688425837575,0.1481688425837575,0.0,1.0
1,735,13,13,0,0.2392790820595923,0.2392790820595923,0.23927908205959234,0.2392790820595923,0.23927908205959236,0.23927908205959242,0.0,0.989
1,736,24,24,0,0.21582911713953734,0.2158291171395374,0.21582911713953734,0.2158291171395373,0.21582911713953737,0.2158291171395374,-5.551115123125783e-17,0.768
1,737,9,9,0,0.08956039193619053,0.08956039193619053,0.08956039193619054,0.08956039193619052,0.08956039193619056,0.08956039193619057,0.0,0.773
1,739,1,1,0,0.2744240417826258,0.27442404178262586,0.2744240417826258,0.2744240417826258,0.2744240417826258,0.2744240417826258,-5.551115123125783e-17,1.0
1,740,1,1,0,0.6260100298045389,0.6260100298045389,0.6260100298045389,0.6260100298045389,0.6260100298045389,0.6260100298045389,0.0,1.0
1,741,1,1,0,0.07681461296840049,0.07681461296840048,0.07681461296840049,0.07681461296840049,0.07681461296840049,0.07681461296840049,1.3877787807814457e-17,1.0
1,742,8,6,2,0.6124719218698068,0.5646441028782806,0.5766830775160646,0.5085005887101959,0.609809867927949,0.6124719218698068,0.047827818991526216,0.01
1,743,1,1,0,0.5335027809061761,0.5335027809061759,0.5335027809061761,0.5335027809061761,0.5335027809061761,0.5335027809061761,2.220446049250313e-16,1.0
1,744,7,7,0,0.15944385516331186,0.1594438551633118,0.15944385516331186,0.15944385516331183,0.15944385516331186,0.15944385516331191,5.551115123125783e-17,0.512
1,745,1,1,0,0.25411481744214076,0.2541148174421407,0.25411481744214076,0.25411481744214076,0.25411481744214076,0.25411481744214076,5.551115123125783e-17,1.0
1,746,5,5,0,0.055595307319072695,0.055595307319072695,0.0555953073190727,0.05559530731907269,0.055595307319072716,0.05559530731907272,0.0,0.928
1,747,6,6,0,0.05714911246072628,0.0571491124607263,0.0571491124607263,0.057149112460726285,0.05714911246072632,0.05714911246072633,-2.0816681711721685e-17,1.0
1,751,2,2,0,0.12657175081611513,0.1265717508161151,0.12657175081611513,0.12657175081611513,0.12657175081611513,0.12657175081611513,2.7755575615628914e-17,1.0
1,764,1,1,0,-0.0036215574590152295,-0.003621557459015228,-0.0036215574590152295,-0.0036215574590152295,-0.0036215574590152295,-0.0036215574590152295,-1.734723475976807e-18,1.0
1,766,2,2,0,0.4857597123065146,0.48575971230651477,0.4857597123065146,0.4857597123065146,0.4857597123065146,0.4857597123065146,-1.6653345369377348e-16,1.0
1,775,3,3,0,0.5442141442073759,0.5442141442073759,0.5442141442073759,0.5442141442073759,0.5442141442073759,0.5442141442073759,0.0,1.0
1,811,1,1,0,0.4585561530224825,0.4585561530224825,0.4585561530224825,0.4585561530224825,0.4585561530224825,0.4585561530224825,0.0,1.0
1,816,2,2,0,0.0638731955985796,0.06387319559857961,0.0638731955985796,0.0638731955985796,0.0638731955985796,0.0638731955985796,-1.3877787807814457e-17,1.0
1,819,1,1,0,0.20437542006259204,0.20437542006259204,0.20437542006259204,0.20437542006259204,0.20437542006259204,0.20437542006259204,0.0,1.0
1,820,1,1,0,0.19222329823210627,0.19222329823210635,0.19222329823210627,0.19222329823210627,0.19222329823210627,0.19222329823210627,-8.326672684688674e-17,1.0
1,827,3,2,1,0.2617196505798904,0.25576489997537216,0.2617196505798904,0.2310304148449762,0.27077395547602606,0.27077395547602606,0.005954750604518222,0.703
